id,language,text,route_category,needs_human,retrieved_chunk_ids,template_response_draft,mock_llm_draft,guardrail_is_safe,guardrail_violations,final_safe_draft
ko_wizard_types,ko,마법사의 종류가 뭐야?,gameplay_guide,false,wizard_elements.ko.v1,"기본 wizard element/type은 Fire, Water, Wind, Stone, Lightning 다섯 가지입니다. Unity WizardElement.cs 기준으로 Fire, Water, Wind, Stone, Lightning enum과 element별 wizard sprite 적용이 확인됩니다.","검색된 로컬 지원 근거를 기준으로 안내합니다: 기본 마법사 원소는 Fire/불, Water/물, Wind/바람, Stone/돌, Lightning/번개 다섯 가지입니다.",true,,"검색된 로컬 지원 근거를 기준으로 안내합니다: 기본 마법사 원소는 Fire/불, Water/물, Wind/바람, Stone/돌, Lightning/번개 다섯 가지입니다."
ko_legendary,ko,전설 마법사는 누구 있어?,gameplay_guide,false,legendary_wizards.ko.v1|arden.ko.v1|lumiel.ko.v1,"전설 마법사는 Arden, Orphel, Lumiel, Novarin으로 정리할 수 있습니다. Arden은 Fire 계열 explosive fire damage dealer, Orphel은 Water 계열 freeze/control type, Lumiel은 Wind 계열 support and blessing type, Novarin은 Lightning 계열 special lightning type입니다.","검색된 로컬 지원 근거를 기준으로 안내합니다: 전설 마법사는 Arden/아르덴, Orphel/오르펠, Lumiel/루미엘, Novarin/노바린입니다.",true,,"검색된 로컬 지원 근거를 기준으로 안내합니다: 전설 마법사는 Arden/아르덴, Orphel/오르펠, Lumiel/루미엘, Novarin/노바린입니다."
ko_fusion,ko,Fusion은 어떻게 해?,gameplay_guide,false,fusion.ko.v1|fusion.en.v1,"Fusion은 서로 다른 두 element wizard를 선택해 조합을 시도하는 deterministic gameplay system입니다. 같은 wizard 또는 같은 element끼리는 조합하지 않으며, 등록된 pair가 있을 때 fusion wizard가 생성됩니다. 지원되는 pair는 서로 다른 element 조합을 기준으로 처리됩니다.",검색된 로컬 지원 근거를 기준으로 안내합니다: Fusion은 서로 다른 원소의 서로 다른 마법사 두 명을 등록된 조합으로 합치는 시스템입니다. Fire + Water는 안개 계열 예시입니다.,true,,검색된 로컬 지원 근거를 기준으로 안내합니다: Fusion은 서로 다른 원소의 서로 다른 마법사 두 명을 등록된 조합으로 합치는 시스템입니다. Fire + Water는 안개 계열 예시입니다.
ko_resonance,ko,레조넌스가 뭐야?,wizard_growth,false,resonance.ko.v1,"문의해 주셔서 감사합니다. 이 내용은 마법사 성장, 레벨업, 경험치, 성장 재료 또는 레조넌스 관련 문의로 확인됩니다. 보유한 마법사의 성장 재료, 경험치, 단계 조건은 현재 PC build의 게임 내 안내를 기준으로 확인해 주세요. 레조넌스와 성장 보너스는 신규 획득과 구분되는 성장 시스템입니다.",검색된 로컬 지원 근거를 기준으로 안내합니다: 공명/resonance는 신규 획득과 구분되는 마법사 성장·강화 계열입니다. 정확한 수치와 보상은 현재 build 안내를 확인해야 합니다.,true,,검색된 로컬 지원 근거를 기준으로 안내합니다: 공명/resonance는 신규 획득과 구분되는 마법사 성장·강화 계열입니다. 정확한 수치와 보상은 현재 build 안내를 확인해야 합니다.
ko_pc,ko,PC에서 마법사를 어떻게 배치해?,gameplay_guide,false,pc_controls.ko.v1,"PC / Steam demo 기준으로 마법사는 mouse click 후 drag placement 방식으로 중앙 전장 영역 안에서 배치합니다. Unity WizardDragController.cs 기준으로 한 번에 하나의 wizard만 드래그하고, 지정된 이동 가능 범위 안에서 위치가 제한됩니다.",검색된 로컬 지원 근거를 기준으로 안내합니다: PC/Steam demo에서는 마우스로 한 번에 하나의 마법사를 드래그해 중앙 전장의 허용 범위 안에 배치합니다.,true,,검색된 로컬 지원 근거를 기준으로 안내합니다: PC/Steam demo에서는 마우스로 한 번에 하나의 마법사를 드래그해 중앙 전장의 허용 범위 안에 배치합니다.
ko_refund,ko,환불받고 싶어,gameplay_guide,true,refund_request.ko.v1|safety_policy.ko.v1,"결제, 환불, 아이템 미지급 문의는 자동으로 환불이나 지급을 약속하지 않고 human review로 접수해야 합니다. 발생 상황, 시점, 빌드, 스크린샷을 함께 남겨 주세요. 이 preview는 환불, 보상, 복구, 해결 시점을 약속하지 않고 사람이 검토할 수 있도록 정리합니다. 이 문의는 담당 검토가 필요할 수 있으며, 확인 과정에서 추가 정보 요청이 있을 수 있습니다.","이 문의는 사람 검토가 필요합니다. 승인된 지원 절차에 발생 상황, 시각, build와 screenshot을 남겨 주세요. 이 local mock은 민감 요청의 자동 처리나 해결 일정을 확정하지 않습니다.",true,,"이 문의는 사람 검토가 필요합니다. 승인된 지원 절차에 필요한 발생 상황, 시각, build와 screenshot만 남겨 주세요. 환불, 보상, 복구, guaranteed fix 또는 patch date를 약속하지 않습니다."
ko_payment,ko,결제했는데 아이템을 못 받았어,gameplay_guide,true,reward_loss.ko.v1|payment_issue.ko.v1,"결제, 환불, 아이템 미지급 문의는 자동으로 환불이나 지급을 약속하지 않고 human review로 접수해야 합니다. 발생 상황, 시점, 빌드, 스크린샷을 함께 남겨 주세요. 이 preview는 환불, 보상, 복구, 해결 시점을 약속하지 않고 사람이 검토할 수 있도록 정리합니다. 이 문의는 담당 검토가 필요할 수 있으며, 확인 과정에서 추가 정보 요청이 있을 수 있습니다.","이 문의는 사람 검토가 필요합니다. 승인된 지원 절차에 발생 상황, 시각, build와 screenshot을 남겨 주세요. 이 local mock은 민감 요청의 자동 처리나 해결 일정을 확정하지 않습니다.",true,,"이 문의는 사람 검토가 필요합니다. 승인된 지원 절차에 필요한 발생 상황, 시각, build와 screenshot만 남겨 주세요. 환불, 보상, 복구, guaranteed fix 또는 patch date를 약속하지 않습니다."
en_wizard_types,en,What wizard types are available?,gameplay_guide,false,wizard_elements.en.v1|fusion.en.v1|wizard_elements.ko.v1,"The basic wizard element/types are Fire, Water, Wind, Stone, Lightning. Based on Unity WizardElement.cs, the game defines Fire, Water, Wind, Stone, and Lightning and applies a wizard sprite per element.","Based on the retrieved local support context: The five basic wizard elements are Fire, Water, Wind, Stone, and Lightning.",true,,"Based on the retrieved local support context: The five basic wizard elements are Fire, Water, Wind, Stone, and Lightning."
en_legendary,en,Who are the legendary wizards?,gameplay_guide,false,legendary_wizards.en.v1|legendary_wizards.ko.v1|wizard_elements.en.v1,"The legendary wizards are Arden, Orphel, Lumiel, and Novarin. Arden is an explosive Fire damage dealer, Orphel is a freeze/control type, Lumiel is a support and blessing type, and Novarin is a special Lightning type.","Based on the retrieved local support context: The legendary wizards are Arden, Orphel, Lumiel, and Novarin.",true,,"Based on the retrieved local support context: The legendary wizards are Arden, Orphel, Lumiel, and Novarin."
en_fusion,en,How does fusion work?,gameplay_guide,false,fusion.en.v1|fusion.ko.v1,"Fusion is a deterministic gameplay system where two different element wizards are selected and combined. The same wizard or the same element cannot be fused, and a fusion wizard is created only when the pair is registered. Supported pairs are handled as different-element combinations.",Based on the retrieved local support context: Fusion combines two different wizards of different elements when their pair is registered. Fire + Water is a mist-style example.,true,,Based on the retrieved local support context: Fusion combines two different wizards of different elements when their pair is registered. Fire + Water is a mist-style example.
