id,text,expected_category,rule_predicted_category,tfidf_predicted_category,rule_correct,tfidf_correct,comparison_type
1,경로 타일에 마법사를 놓을 수 없다고 표시되는데 정확히 어디에 놓아야 하나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
2,적들이 성으로 가는 경로를 우회해서 가는 경우가 있어요. 이건 의도된 건가요?,gameplay_guide,gameplay_guide,bug_report,true,false,rule_only_correct
3,초반 라운드에서 효과적인 배치 전략 추천 부탁드려요.,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
4,불 속성 마법사는 물 속성 적에게 약한가요? 상성 표 같은 거 있나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
5,마법사는 길에 올려놓을 수 없다고 하는데 어느 타일이 길인지 잘 모르겠어요.,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
6,적들이 몰려올 때 어느 타워부터 업그레이드해야 할까요?,gameplay_guide,tower_progress,gameplay_guide,false,true,tfidf_only_correct
7,전략적으로 바람 마법사를 어떤 위치에 두는 게 좋나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
8,웨이브 10에서 막히는데 추천 덱(조합) 알려주실 수 있나요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
9,전설 마법사 없이도 즐길 수 있는 빌드 예시가 있나요?,gameplay_guide,gameplay_guide,wizard_growth,true,false,rule_only_correct
10,마법사 소환 시 반응(레조넌스) 시스템이 어떻게 작동하는지 쉽게 설명해 주세요.,gameplay_guide,wizard_acquisition,wizard_growth,false,false,both_wrong
11,돌 속성 마법사는 어떤 조합에서 우선 배치해야 할까요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
12,적 HP가 보이지 않을 때 공격 타이밍을 어떻게 파악하나요?,gameplay_guide,gameplay_guide,wizard_acquisition,true,false,rule_only_correct
13,맵에서 특정 타일이 손상되어 보이는데 플레이에 영향을 주나요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
14,번개 마법사와 불 마법사 조합이 효과적인 상황을 알려주세요.,gameplay_guide,skill_combat,wizard_growth,false,false,both_wrong
15,적의 이동 경로를 막을 수 있는 팁이 있을까요?,gameplay_guide,gameplay_guide,gameplay_guide,true,true,both_correct
16,마법사 레벨업에 필요한 경험치는 어떻게 얻나요?,wizard_growth,wizard_acquisition,wizard_acquisition,false,false,both_wrong
17,레조넌스 시스템으로 전설 마법사를 만드는 방법을 자세히 알려주세요.,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
18,재능 트리에서 어떤 선택이 광역 딜에 유리한가요?,wizard_growth,wizard_growth,gameplay_guide,true,false,rule_only_correct
19,전설 마법사 성장 한계가 있나요? 레벨 캡이 궁금합니다.,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
20,성장 단계가 오르면 어떤 보너스를 받나요?,wizard_growth,gameplay_guide,wizard_growth,false,true,tfidf_only_correct
21,마법사 합성 대신 레조넌스를 사용하는 이유가 뭐죠?,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
22,물 마법사의 추천 스탯 분배 알려주세요.,wizard_growth,gameplay_guide,wizard_growth,false,true,tfidf_only_correct
23,레벨업 시 스킬 포인트를 자동 분배할 수 있나요?,wizard_growth,wizard_growth,skill_combat,true,false,rule_only_correct
24,전설 마법사 전용 성장 경로 예시를 보여주세요.,wizard_growth,gameplay_guide,wizard_growth,false,true,tfidf_only_correct
25,레조넌스 실패 시 재화나 재료가 소비되나요?,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
26,마법사 전용 퀘스트로 얻는 보상이 무엇인가요?,wizard_growth,wizard_acquisition,tower_progress,false,false,both_wrong
27,레벨업 보너스가 팀 전체에 적용되나요 아니면 개별 마법사만 적용되나요?,wizard_growth,wizard_growth,wizard_growth,true,true,both_correct
